   0.00165   0.00877  -7.41955   0.94922   0.00000   0.00000   0.40370   0.94925   0.01792
   0.00171   0.00893  -6.96080   0.93272   0.00000   0.00000   0.39336   0.93277   0.01985
   0.00180   0.00916  -5.65897   0.93393   0.00602   0.00000   0.40314   0.93402   0.02302
   0.00186   0.00933  -4.25763   0.95317   0.03030   0.00000   0.42822   0.95328   0.02566
   0.00193   0.00950  -2.30613   0.99137   0.07782   0.00000   0.47227   0.99150   0.02882
   0.00199   0.00964  -0.19230   1.03930   0.13260   0.00000   0.52507   1.03946   0.03191
   0.00205   0.00978   2.19572   1.09752   0.19749   0.00000   0.58781   1.09770   0.03522
   0.00211   0.00993   5.35676   1.17970   0.28641   0.00000   0.67463   1.17991   0.03935
   0.00217   0.01006   8.53863   1.26501   0.37742   0.00000   0.76384   1.26524   0.04342
   0.00222   0.01018  11.88903   1.35626   0.47406   0.00000   0.85877   1.35652   0.04767
   0.00226   0.01028  14.95917   1.44154   0.56350   0.00000   0.94690   1.44183   0.05154
   0.00236   0.01049  22.12828   1.64722   0.77780   0.06739   1.15847   1.64757   0.06079
   0.00244   0.01066  29.07692   1.85617   0.99388   0.26238   1.37229   1.85659   0.07037
   0.00253   0.01086  37.85941   2.12502   1.27045   0.55136   1.64642   2.12554   0.08297
   0.00263   0.01107  48.29454   2.44606   1.59930   0.88292   1.97281   2.44671   0.09856
   0.00272   0.01126  58.90303   2.77438   1.93451   1.22238   2.30585   2.77518   0.11517
   0.00281   0.01144  70.71288   3.14200   2.30891   1.60056   2.67815   3.14299   0.13450
   0.00288   0.01160  81.40970   3.47673   2.64916   1.94398   3.01668   3.47792   0.15279
   0.00298   0.01179  95.71258   3.92737   3.10635   2.40493   3.47187   3.92884   0.17865
   0.00307   0.01196 109.33872   4.35931   3.54399   2.84586   3.90781   4.36109   0.20454
   0.00314   0.01212 122.38039   4.77436   3.96418   3.26900   4.32646   4.77645   0.23008
   0.00325   0.01232 140.67477   5.36183   4.55810   3.86663   4.91852   5.36442   0.26845
   0.00335   0.01251 159.11937   5.95882   5.16109   4.47305   5.51982   5.96199   0.30947
   0.00344   0.01269 177.24240   6.54904   5.75687   5.07199   6.11408   6.55282   0.35158
   0.00353   0.01286 196.48404   7.18040   6.39375   5.71199   6.74949   7.18489   0.39867
   0.00363   0.01304 216.66423   7.84899   7.06774   6.38900   7.42213   7.85433   0.45140
   0.00372   0.01321 236.19945   8.49906   7.72289   7.04697   8.07604   8.50527   0.50394
   0.00380   0.01336 256.03580   9.16647   8.39512   7.72184   8.74719   9.17367   0.56121
   0.00389   0.01352 276.34848   9.85309   9.08657   8.41591   9.43759   9.86135   0.62162
   0.00398   0.01368 297.43427  10.57239   9.81067   9.14256  10.16073  10.58186   0.68799
   0.00406   0.01383 318.00177  11.27822  10.52109   9.85538  10.87029  11.28895   0.75518
   0.00414   0.01398 338.36890  11.98319  11.23045  10.56699  11.57890  11.99527   0.82521
   0.00423   0.01412 359.18814  12.70682  11.95852  11.29732  12.30625  12.72035   0.89864
   0.00431   0.01427 380.91580  13.47043  12.72663  12.06764  13.07374  13.48562   0.98042
   0.00439   0.01440 401.44901  14.19206  13.45252  12.79561  13.79904  14.20883   1.05770
   0.00446   0.01454 422.47116  14.94264  14.20734  13.55240  14.55344  14.96127   1.14442
   0.00454   0.01467 443.57132  15.69608  14.96502  14.31206  15.31069  15.71657   1.23150
   0.00231   0.01065  -5.64439   0.79036   0.00000   0.00000   0.34217   0.79038   0.01759
   0.00241   0.01087  -5.06609   0.78565   0.00000   0.00000   0.34250   0.78568   0.01925
   0.00257   0.01118  -3.65938   0.80080   0.00734   0.00000   0.36465   0.80086   0.02200
   0.00268   0.01141  -2.25695   0.82733   0.03560   0.00000   0.39597   0.82741   0.02429
   0.00280   0.01165  -0.38780   0.87017   0.08694   0.00000   0.44359   0.87026   0.02704
   0.00290   0.01186   1.58011   0.91941   0.14189   0.00000   0.49681   0.91952   0.02972
   0.00300   0.01205   3.75866   0.97654   0.20471   0.00000   0.55763   0.97666   0.03259
   0.00311   0.01226   6.56973   1.05355   0.28745   0.00000   0.63843   1.05370   0.03616
   0.00321   0.01244   9.35004   1.13142   0.37017   0.00000   0.71949   1.13159   0.03967
   0.00330   0.01261  12.24682   1.21350   0.45683   0.00000   0.80458   1.21369   0.04331
   0.00337   0.01275  14.85951   1.28867   0.53554   0.00000   0.88208   1.28889   0.04661
   0.00353   0.01304  20.87675   1.46715   0.72134   0.05786   1.06537   1.46742   0.05445
   0.00366   0.01330  26.59679   1.64491   0.90517   0.22422   1.24711   1.64524   0.06250
   0.00382   0.01358  33.71036   1.86992   1.13675   0.46767   1.47645   1.87033   0.07300
   0.00398   0.01387  42.03045   2.13435   1.40783   0.74217   1.74525   2.13489   0.08585
   0.00413   0.01414  50.36721   2.40102   1.68036   1.01933   2.01579   2.40169   0.09942
   0.00429   0.01441  59.53029   2.69605   1.98116   1.32433   2.31465   2.69689   0.11507
   0.00441   0.01464  67.73470   2.96185   2.25165   1.59830   2.58356   2.96285   0.12977
   0.00457   0.01491  78.56003   3.31540   2.61079   1.96158   2.94085   3.31666   0.15035
   0.00471   0.01516  88.76070   3.65100   2.95124   2.30562   3.27972   3.65252   0.17079
   0.00484   0.01538  98.45683   3.97152   3.27613   2.63375   3.60319   3.97331   0.19087
   0.00501   0.01567 111.86504   4.41955   3.72964   3.09131   4.05498   4.42177   0.22074
   0.00517   0.01594 125.23028   4.87037   4.18556   3.55096   4.50933   4.87307   0.25238
   0.00532   0.01619 138.25191   5.31283   4.63275   4.00159   4.95510   5.31606   0.28468
   0.00548   0.01645 151.94034   5.78213   5.10674   4.47897   5.42773   5.78595   0.32054
   0.00563   0.01670 166.12743   6.27411   5.60330   4.97880   5.92302   6.27863   0.36035
   0.00577   0.01694 179.78935   6.75035   6.08383   5.46238   6.40239   6.75558   0.39987
   0.00591   0.01717 193.48709   7.23407   6.57164   5.95303   6.88916   7.24011   0.44257
   0.00605   0.01740 207.44412   7.72962   7.07127   6.45548   7.38779   7.73653   0.48744
   0.00619   0.01763 221.78873   8.24444   7.59014   6.97709   7.90573   8.25233   0.53639
   0.00633   0.01785 235.69527   8.74701   8.09657   7.48610   8.41131   8.75591   0.58572
   0.00646   0.01806 249.34453   9.24525   8.59851   7.99046   8.91251   9.25524   0.63683
